Character (decimal)	Decimal	Character (hex)	Hex	Name
⣰	10480	⣰	28F0	BRAILLE PATTERN DOTS-5678
⣱	10481	⣱	28F1	BRAILLE PATTERN DOTS-15678
⣲	10482	⣲	28F2	BRAILLE PATTERN DOTS-25678
⣳	10483	⣳	28F3	BRAILLE PATTERN DOTS-125678
⣴	10484	⣴	28F4	BRAILLE PATTERN DOTS-35678
⣵	10485	⣵	28F5	BRAILLE PATTERN DOTS-135678
⣶	10486	⣶	28F6	BRAILLE PATTERN DOTS-235678
⣷	10487	⣷	28F7	BRAILLE PATTERN DOTS-1235678
⣸	10488	⣸	28F8	BRAILLE PATTERN DOTS-45678
⣹	10489	⣹	28F9	BRAILLE PATTERN DOTS-145678
⣺	10490	⣺	28FA	BRAILLE PATTERN DOTS-245678
⣻	10491	⣻	28FB	BRAILLE PATTERN DOTS-1245678
⣼	10492	⣼	28FC	BRAILLE PATTERN DOTS-345678
⣽	10493	⣽	28FD	BRAILLE PATTERN DOTS-1345678
⣾	10494	⣾	28FE	BRAILLE PATTERN DOTS-2345678
⣿	10495	⣿	28FF	BRAILLE PATTERN DOTS-12345678
